SalesTerritoryKey,SalesOrderNumber,Product Name
4,SO51900,WWI LCD24 X300 White
4,SO51948,WWI LCD24 X300 White
4,SO52043,WWI LCD24 X300 White
4,SO52045,WWI LCD24 X300 White
4,SO52094,WWI LCD24 X300 White
4,SO52175,WWI LCD24 X300 White
4,SO52190,WWI LCD24 X300 White
4,SO52232,WWI LCD24 X300 White
4,SO52234,WWI LCD24 X300 White
4,SO52245,WWI LCD24 X300 White
4,SO52301,WWI LCD24 X300 White
4,SO52314,WWI LCD24 X300 White
4,SO52342,WWI LCD24 X300 White
4,SO52387,WWI LCD24 X300 White
4,SO52499,WWI LCD24 X300 White
4,SO52500,WWI LCD24 X300 White
4,SO52545,WWI LCD24 X300 White
4,SO52593,WWI LCD24 X300 White
4,SO52627,WWI LCD24 X300 White
4,SO52637,WWI LCD24 X300 White
4,SO52696,WWI LCD24 X300 White
4,SO52746,WWI LCD24 X300 White
4,SO52865,WWI LCD24 X300 White
4,SO52916,WWI LCD24 X300 White
4,SO52940,WWI LCD24 X300 White
4,SO53035,WWI LCD24 X300 White
4,SO53103,WWI LCD24 X300 White
4,SO53154,WWI LCD24 X300 White
4,SO53215,WWI LCD24 X300 White
4,SO53312,WWI LCD24 X300 White
4,SO53425,WWI LCD24 X300 White
4,SO53887,WWI LCD24 X300 White
4,SO53896,WWI LCD24 X300 White
4,SO53947,WWI LCD24 X300 White
4,SO53959,WWI LCD24 X300 White
4,SO54003,WWI LCD24 X300 White
4,SO54064,WWI LCD24 X300 White
4,SO54065,WWI LCD24 X300 White
4,SO54129,WWI LCD24 X300 White
4,SO54284,WWI LCD24 X300 White
4,SO54495,WWI LCD24 X300 White
4,SO54499,WWI LCD24 X300 White
4,SO54615,WWI LCD24 X300 White
4,SO54694,WWI LCD24 X300 White
4,SO54727,WWI LCD24 X300 White
4,SO54740,WWI LCD24 X300 White
4,SO54741,WWI LCD24 X300 White
4,SO54788,WWI LCD24 X300 White
4,SO54848,WWI LCD24 X300 White
4,SO54907,WWI LCD24 X300 White
4,SO55058,WWI LCD24 X300 White
4,SO55108,WWI LCD24 X300 White
4,SO55161,WWI LCD24 X300 White
4,SO55352,WWI LCD24 X300 White
4,SO55578,WWI LCD24 X300 White
4,SO55635,WWI LCD24 X300 White
4,SO55767,WWI LCD24 X300 White
4,SO55770,WWI LCD24 X300 White
4,SO55782,WWI LCD24 X300 White
4,SO55786,WWI LCD24 X300 White
4,SO55892,WWI LCD24 X300 White
